Name,Age,Gender,Height (cm),Weight (kg),Resting HR,Workout HR,Fitness Goals,Preferred Exercises,Suggested Sports
Stephanie Parrish,34,Male,175,56,72,156,Flexibility,Yoga,Yoga
James Sellers,45,Male,178,53,85,143,General Fitness,Strength Training,Pilates
Kimberly Hudson,28,Male,185,85,68,160,Endurance Training,Strength Training,Pilates Reformer
Kristi Garcia,41,Female,171,80,76,157,Weight Loss,Crossfit,Crossfit
Brian Fletcher,32,Male,161,58,76,167,Stress Relief,Martial Arts,Martial Arts
Julie Glass,24,Female,172,90,69,134,Endurance Training,Weightlifting,Weightlifting
Brenda Hunt,31,Female,181,56,65,159,Balance,Bodybuilding,Bodybuilding
Alyssa Cortez,26,Male,155,56,76,141,Muscle Gain,Swimming,Water aerobics
Michael Stevenson,29,Male,155,97,65,145,Toning,Crossfit,Crossfit
Christian Clay,33,Male,181,80,68,158,Endurance Training,Cardio,Running
Cathy Stokes,34,Female,159,50,79,134,Improved Sleep,Mixed,Light cardio
Matthew Burgess,30,Male,189,84,82,169,Flexibility,HIIT,Crossfit
Courtney Holt,35,Male,179,64,65,161,Toning,Dance,Dance
Christopher Carson,28,Female,170,50,79,164,Improved Sleep,Walking,Long-distance walking
Hannah Olsen,40,Female,165,72,73,161,Stress Relief,Strength Training,Pilates
Nicolas Stevens,25,Female,163,74,71,152,Rehabilitation,Cycling,Spinning
Tiffany Miller,21,Female,181,100,62,160,Improved Sleep,Dance,Dance Cardio
Christopher Thomas,45,Female,178,72,64,139,Flexibility,Mixed,Tai Chi
Carla Arroyo,20,Male,174,86,68,152,Stress Relief,Cycling,Spinning
Howard Bell,21,Female,188,52,81,134,Muscle Gain,Swimming,Water aerobics
Andrew Figueroa,38,Female,182,54,85,150,Balance,Cardio,HIIT
Kristin Johnston,39,Female,187,58,67,154,Flexibility,Cycling,Cycling
Ray Webb,26,Male,188,99,73,142,Toning,Bodybuilding,Bodybuilding
Zachary Rios,26,Male,160,95,69,152,Rehabilitation,Walking,Long-distance walking
Mathew Mckenzie,30,Female,180,91,69,141,Weight Loss,Rock Climbing,Spinning
Stephanie Gonzalez,39,Female,177,52,69,141,Endurance Training,Bodybuilding,Bodybuilding
Joshua Robinson,22,Male,158,80,65,134,Stress Relief,HIIT,HIIT
Kathy Hicks,35,Male,166,98,78,140,Stress Relief,Pilates,Pilates
Jessica Carlson,37,Female,167,74,63,158,Rehabilitation,Walking,Long-distance walking
Mary Jordan,29,Female,161,95,79,151,Rehabilitation,Running,Long-distance running
Mary Ramirez,38,Female,161,86,72,141,Improved Sleep,Swimming,Swimming
Cameron Austin,40,Male,177,78,83,136,Toning,HIIT,Crossfit
John Waters,27,Male,187,96,65,158,Endurance Training,Weightlifting,Bodybuilding
William Lawrence,43,Female,161,55,83,152,Muscle Gain,Weightlifting,Weightlifting
Rebecca Parker,23,Female,157,76,79,160,Rehabilitation,Yoga,Hot Yoga
Bridget Wallace,30,Female,172,84,63,130,Rehabilitation,Martial Arts,Martial Arts
Crystal Murphy,43,Male,181,71,60,137,Muscle Gain,Pilates,Pilates
Richard Ramirez,43,Female,176,100,73,160,Toning,Running,Long-distance running
Melissa Harrison,24,Female,188,84,78,133,Rehabilitation,Crossfit,Crossfit
Wesley Taylor,26,Female,174,78,65,153,Rehabilitation,Cycling,Cycling
Kathleen Oconnor,21,Female,172,64,78,148,Balance,Weightlifting,Olympic Lifting
Michelle Whitehead,45,Male,176,95,82,130,Balance,Dance,Zumba
Stephanie Mitchell,37,Female,164,62,77,147,Muscle Gain,Mixed,Bodybuilding
Teresa Carter,27,Female,155,60,60,148,Flexibility,Strength Training,Pilates
Christina Lee,38,Male,181,98,63,162,Balance,HIIT,HIIT
Anthony Lara,30,Female,175,70,66,164,Rehabilitation,Yoga,Yoga
Grace Brown,38,Male,177,59,82,151,Improved Sleep,Mixed,Pilates
Maureen Blanchard,28,Female,167,57,85,168,Improved Sleep,Cycling,Spinning
Elizabeth Watkins,28,Male,172,66,74,161,Rehabilitation,Bodybuilding,Bodybuilding
Sharon Cooper,23,Female,186,55,74,152,Stress Relief,Rock Climbing,Walking
John Vargas,27,Female,182,83,81,152,Weight Loss,Strength Training,Bodybuilding
